# Teff	logg	[Fe/H]	2MASS_H	2MASS_J	2MASS_Ks	GROUND_JOHNSON_U	GROUND_JOHNSON_V	GROUND_JOHNSON_B	GaiaDR2v2_G	GaiaDR2v2_RP	GaiaDR2v2_BP	PS1_g	PS1_i	PS1_r	PS1_w	PS1_y	PS1_z	SDSS_g	SDSS_i	SDSS_r	SDSS_u	SDSS_z	WISE_RSR_W1	WISE_RSR_W2	GALEX_FUV	GALEX_NUV
2.600000000000000000e+03	2.500000000000000000e+00	0.000000000000000000e+00	1.226259107171175241e+09	1.998082298066061735e+09	6.548794540204161406e+08	1.403307459013216384e+07	7.019331526517659426e+07	3.672973504798968881e+07	3.829093631134313345e+08	6.649128666512252092e+08	6.377019756200262904e+07	5.015970516455040872e+07	4.799464176366693377e+08	1.000517675894311666e+08	2.491104089680239856e+08	1.525468975144445181e+09	1.006608997961938381e+09	4.441245916542164981e+07	4.544073602559518814e+08	9.701711415435862541e+07	1.119573505985478312e+07	1.142144620980764151e+09	1.727667629922448397e+08	6.768073149733830988e+07	3.670227887002334709e-07	2.601316145553687875e+03
2.600000000000000000e+03	3.000000000000000000e+00	2.999999999999999889e-01	1.259867436488898754e+09	2.072762059264472723e+09	6.700930412735942602e+08	1.457115575690545887e+07	6.916472933452585340e+07	3.756936717964839190e+07	3.768705151807923913e+08	6.561548953642559052e+08	6.325123553289591521e+07	5.016623994355262816e+07	4.586234536438547373e+08	9.833195128614839911e+07	2.391839113285837173e+08	1.559261659599607944e+09	9.952029096427166462e+08	4.453988275247240067e+07	4.341996840539287925e+08	9.547925884183746576e+07	1.166385910293749720e+07	1.140593716933983088e+09	1.750456646056180298e+08	6.811683177475044131e+07	2.360606655995354401e-07	2.147333263123538018e+03
2.600000000000000000e+03	3.000000000000000000e+00	5.000000000000000000e-01	1.267190321305269241e+09	2.105491476194825888e+09	6.716138239103128910e+08	1.615904580369930714e+07	6.505658362644122541e+07	3.780142431028610468e+07	3.581014301582213044e+08	6.250623757174773216e+08	6.003241859894177318e+07	4.799280675146815181e+07	4.252259076684707999e+08	9.231161748168502748e+07	2.223246908394078314e+08	1.532196456813876390e+09	9.489742392480409145e+08	4.300984226947268844e+07	4.026958535648115277e+08	8.948814040841419995e+07	1.297279814453801513e+07	1.098983140441609383e+09	1.740640662398794591e+08	6.748059560676905513e+07	1.255246007238361995e-07	1.964924709550880834e+03
2.600000000000000000e+03	3.000000000000000000e+00	0.000000000000000000e+00	1.256324652003390312e+09	2.033454637631490946e+09	6.679352812767996788e+08	1.193279024241568521e+07	7.306344987025311589e+07	3.660645691373725235e+07	4.061676324480185509e+08	7.069080620688314438e+08	6.570796442161309719e+07	5.256225746707893908e+07	5.140702980123820305e+08	1.023411747267713547e+08	2.646766350149861872e+08	1.605487936125891924e+09	1.073531701233614564e+09	4.614344756840053201e+07	4.862399518651880622e+08	9.960403539752992988e+07	9.510983228716814891e+06	1.211093156067059278e+09	1.750473114722954929e+08	6.828830417950947583e+07	4.126608711124833552e-07	2.009541173803013180e+03
2.600000000000000000e+03	3.500000000000000000e+00	2.999999999999999889e-01	1.244394539235631704e+09	2.034892831929131269e+09	6.616774970262236595e+08	9.776281890940530226e+06	6.363196297854333371e+07	3.255631847232256457e+07	3.675768436531780362e+08	6.443473662533752918e+08	5.776221802071437240e+07	4.704886081465634704e+07	4.433584883170198798e+08	9.032517450439180434e+07	2.289826086150125563e+08	1.549351801020420074e+09	9.846882866892625093e+08	4.169957675744266808e+07	4.199356349807305932e+08	8.746318618864500523e+07	7.794309599541144446e+06	1.128115772512329817e+09	1.729917238916760981e+08	6.731204069023130834e+07	3.644954314169499144e-07	1.042776587296484877e+03
2.600000000000000000e+03	3.500000000000000000e+00	5.000000000000000000e-01	1.255537299509504795e+09	2.078172995890705109e+09	6.679896978148502111e+08	1.219052553648701124e+07	6.664674800196382403e+07	3.590328527243880183e+07	3.683322528914278150e+08	6.432666294456535578e+08	6.102496581260483712e+07	4.970559663453211635e+07	4.387155480134623647e+08	9.469337914402557909e+07	2.294879802809588015e+08	1.562970884508292675e+09	9.781183857090791464e+08	4.437400177810912579e+07	4.163063232263650894e+08	9.165869039348593354e+07	9.755638521545588970e+06	1.126376840926126480e+09	1.743448605104450285e+08	6.760023399738374352e+07	2.921334173842178143e-07	1.287724742637428790e+03
2.600000000000000000e+03	3.500000000000000000e+00	0.000000000000000000e+00	1.260593050853329897e+09	2.023123411751478195e+09	6.642796723695861101e+08	7.419394095120029524e+06	6.336509224025930464e+07	3.063236680432283506e+07	3.905432205408814549e+08	6.874983439789499044e+08	5.637173016691779345e+07	4.734253224942849576e+07	4.883354551589778066e+08	8.701929061820513010e+07	2.465170632513393462e+08	1.598433252214181900e+09	1.057080890295477509e+09	4.159324475228762627e+07	4.612722298712176085e+08	8.441711060803715885e+07	5.893422764596199617e+06	1.194713544220486641e+09	1.724238510479745865e+08	6.705652389611289650e+07	5.049312718075041039e-07	7.617992736805931600e+02
2.600000000000000000e+03	4.000000000000000000e+00	2.999999999999999889e-01	1.308613457889344454e+09	2.127212868526520967e+09	6.828166666475837231e+08	6.907099352677756920e+06	6.274600698686439544e+07	3.022319269117600843e+07	3.861432822889539003e+08	6.818964360798566341e+08	5.636936398166868836e+07	4.674267484478232265e+07	4.647721058829060793e+08	8.776803594310066104e+07	2.363299002341698110e+08	1.652162549472225904e+09	1.051037622605860829e+09	4.098496225360187888e+07	4.391903365245844722e+08	8.533988557566244900e+07	5.493694545926913619e+06	1.201930219562575817e+09	1.747256213041730523e+08	6.711521289569218457e+07	4.166591809068346546e-07	5.159850268910190607e+02
2.600000000000000000e+03	4.000000000000000000e+00	5.000000000000000000e-01	1.280305412598359346e+09	2.107952827986150742e+09	6.736066357754513025e+08	8.034486773520370014e+06	6.084453290609770268e+07	3.065916569926666841e+07	3.654051007612466216e+08	6.445142067590063810e+08	5.530604596308408678e+07	4.529683849975106120e+07	4.297761601547957063e+08	8.646056969797341526e+07	2.210564107195917964e+08	1.598491334790819645e+09	9.902633096171025038e+08	3.998843441684436798e+07	4.068758229569281340e+08	8.395019706586602330e+07	6.394943642789849080e+06	1.143123173489850998e+09	1.734836100335718691e+08	6.671067971613267809e+07	3.491446279460822447e-07	5.732915594961698389e+02
2.600000000000000000e+03	4.000000000000000000e+00	0.000000000000000000e+00	1.328370260868799448e+09	2.113232886514408350e+09	6.842975196545298100e+08	4.735479629249856807e+06	6.214618700474630296e+07	2.755582657044600323e+07	4.117235077543863654e+08	7.296169706067652702e+08	5.491413124458447099e+07	4.615896618922134489e+07	5.166345599097584486e+08	8.544819847589471936e+07	2.572558353728805482e+08	1.697601860950507879e+09	1.129571202094475985e+09	3.988242427105233073e+07	4.870945556074215770e+08	8.328504294025076926e+07	3.757060523899968714e+06	1.272413139146717548e+09	1.741151547467607260e+08	6.648001659999770671e+07	5.674085384177474518e-07	3.532902676893909302e+02
