# Teff	logg	[Fe/H]	2MASS_H	2MASS_J	2MASS_Ks	GROUND_JOHNSON_U	GROUND_JOHNSON_V	GROUND_JOHNSON_B	GaiaDR2v2_G	GaiaDR2v2_RP	GaiaDR2v2_BP	PS1_g	PS1_i	PS1_r	PS1_w	PS1_y	PS1_z	SDSS_g	SDSS_i	SDSS_r	SDSS_u	SDSS_z	WISE_RSR_W1	WISE_RSR_W2	GALEX_FUV	GALEX_NUV
2.400000000000000000e+03	3.500000000000000000e+00	5.000000000000000000e-01	9.775423759857795238e+08	1.574201322085110188e+09	5.439802641707799435e+08	7.726440898242721334e+06	2.372399401326999068e+07	1.549604303273439407e+07	2.074250684617249072e+08	3.762644149240266085e+08	2.354454827676430345e+07	1.726353745223024487e+07	2.374315596788965762e+08	3.806110639774050564e+07	1.156220619260432422e+08	1.007535685561971545e+09	5.812135922802202702e+08	1.578297557873581722e+07	2.222671342365140617e+08	3.691081643295792490e+07	6.191871244598446414e+06	6.961001291438925266e+08	1.450508864116514921e+08	5.804552719044380635e+07	2.527832602811484113e-08	1.262098318010378534e+03
2.400000000000000000e+03	4.000000000000000000e+00	5.000000000000000000e-01	1.013054196143298507e+09	1.613835754137011051e+09	5.537008926540539265e+08	5.691265799155919813e+06	2.424034206184981018e+07	1.475089641488063335e+07	2.142161687589429319e+08	3.895406831747835279e+08	2.400369510208652541e+07	1.726687913488226384e+07	2.467962184975053370e+08	3.963670459478668123e+07	1.198166373409572691e+08	1.030656859006708622e+09	6.035188005108360052e+08	1.553758118993138522e+07	2.307800776807903349e+08	3.861606848159603775e+07	4.456327234682199545e+06	7.168644788803719282e+08	1.431192176992756724e+08	5.667107480764384568e+07	2.772816687043778298e-08	8.223637693279898713e+02
2.400000000000000000e+03	4.500000000000000000e+00	5.000000000000000000e-01	1.051092403208219886e+09	1.651057596035696030e+09	5.615580831740169525e+08	3.533340210503483657e+06	2.831411040748650208e+07	1.418186848634605482e+07	2.355949025689766109e+08	4.269895925051324368e+08	2.800587709102036431e+07	1.857113173543024436e+07	2.780370033360921144e+08	4.894741526997782290e+07	1.368694948087886572e+08	1.078547457793100357e+09	6.612212358535405397e+08	1.605496819458589889e+07	2.605829563303844929e+08	4.800212233900839835e+07	2.627099527816607151e+06	7.680635427013933659e+08	1.394406550526218712e+08	5.411267427005075663e+07	1.253096712047435726e-08	3.544776672386929022e+02
2.400000000000000000e+03	5.000000000000000000e+00	5.000000000000000000e-01	1.090009848085099459e+09	1.677178722495802402e+09	5.669969730254435539e+08	1.872590550326317782e+06	3.605571667949400097e+07	1.457447087398034148e+07	2.699986692338294387e+08	4.842826155514515638e+08	3.594418653691091388e+07	2.239608453396345302e+07	3.344902021521253586e+08	6.477777525488084555e+07	1.684150028606740236e+08	1.122664611468108177e+09	7.459923757617977858e+08	1.875242773737978563e+07	3.154017706043209434e+08	6.401982124541119486e+07	1.260942030330641661e+06	8.371911161473102570e+08	1.346492269184004664e+08	5.071506083810308576e+07	4.286273611432750935e-09	1.126592013218820796e+02
2.400000000000000000e+03	5.500000000000000000e+00	5.000000000000000000e-01	1.130075085344099522e+09	1.708078767600577116e+09	5.675374518096855879e+08	9.308181278565956745e+05	4.084535743041049689e+07	1.404156028566013090e+07	2.948004814672253728e+08	5.269325267976380587e+08	4.031479068559362739e+07	2.456220897185856849e+07	3.752290060980784893e+08	7.432836859836524725e+07	1.905270961625466347e+08	1.174339099637737513e+09	8.071362013078079224e+08	2.004608124072339013e+07	3.554045348453754187e+08	7.332693619678314030e+07	5.439043736164052971e+05	8.928937707766220570e+08	1.306556080896108001e+08	4.752407469095825404e+07	4.122173170974211037e-09	3.803218783019647020e+01
2.400000000000000000e+03	6.000000000000000000e+00	5.000000000000000000e-01	1.140930800315562963e+09	1.722645262923074245e+09	5.427491521816139221e+08	4.576075195587371127e+05	5.222916399161189049e+07	1.375918286307711340e+07	3.409068057332031727e+08	5.997599865110702515e+08	5.276470983722344786e+07	2.730253497109089047e+07	4.465855291339515448e+08	1.028671594685597271e+08	2.345352101756462455e+08	1.249382725410221338e+09	9.052261529098099470e+08	2.156903029496310279e+07	4.277867112809762955e+08	1.019553020250659287e+08	2.329671297811284603e+05	9.841956473225295544e+08	1.281135763590768874e+08	4.535078811518637091e+07	6.114320448622677872e-09	1.765767651568533836e+01
2.500000000000000000e+03	0.000000000000000000e+00	5.000000000000000000e-01	1.290718017313677073e+09	1.876238322985530615e+09	6.170020748655736446e+08	5.157135314596921206e+06	5.149476186415147968e+06	6.029114508496555500e+06	8.651755813076062500e+07	1.625494838236353397e+08	5.556109906431383453e+06	4.196007735613462515e+06	7.782215092601457238e+07	8.537431810497034341e+06	3.525657593939891458e+07	5.639091094336724281e+08	2.525104063967240751e+08	4.179832000251404941e+06	7.194571433486030996e+07	7.961106999052301981e+06	4.426106322347271256e+06	3.418162738716930151e+08	1.269475172493703067e+08	4.968053354682505131e+07	1.305212652462702076e-11	2.519351371813693845e+02
2.500000000000000000e+03	5.000000000000000000e-01	5.000000000000000000e-01	1.395106089755502224e+09	1.839792688022974491e+09	6.637771106171524525e+08	6.812038597260650247e+06	7.228223761283399537e+06	8.249159113760170527e+06	1.097530483417159766e+08	2.058099960310896635e+08	7.702199618825728074e+06	6.067934022032946348e+06	1.010404193475729823e+08	1.139968548292061687e+07	4.597769447268354893e+07	6.960571403278712034e+08	3.213811184799811244e+08	6.079163042594225146e+06	9.344630658927573264e+07	1.069167350476334617e+07	5.707521903722072951e+06	4.271334940594260097e+08	1.340169996088422984e+08	5.281073761657201499e+07	3.975660954717080593e-11	4.492536940631177913e+02
2.500000000000000000e+03	1.000000000000000000e+00	5.000000000000000000e-01	1.467642436123711109e+09	1.923051695744349003e+09	6.824886732508306503e+08	1.053891535730108432e+07	8.985381202490277588e+06	1.183118236333225854e+07	1.323304452615512609e+08	2.481246220173374712e+08	9.848498854975834489e+06	8.091438186486493796e+06	1.218216939521827400e+08	1.345949488799956068e+07	5.511295876883067191e+07	8.339988830879175663e+08	3.898203192872999907e+08	8.369211523876934312e+06	1.124034472447221577e+08	1.268852722727818787e+07	8.763014538135081530e+06	5.135363146652106047e+08	1.358634804710439742e+08	5.428711121365007013e+07	9.315538847119591842e-11	7.416729777973692990e+02
2.500000000000000000e+03	1.500000000000000000e+00	5.000000000000000000e-01	1.451228671878445625e+09	2.074742521383145332e+09	6.666375926077961922e+08	1.666757612835715711e+07	1.053914213632069342e+07	1.689757479469841719e+07	1.546888853939516842e+08	2.899433729670227170e+08	1.223933628473273106e+07	1.012770898169553466e+07	1.414522386357913613e+08	1.542961931012070738e+07	6.363246573164582998e+07	9.770554537129948139e+08	4.570539482114172578e+08	1.089195056915646978e+07	1.301828598946762532e+08	1.463853948847767338e+07	1.384537303125756793e+07	6.007984067842133045e+08	1.365903570870811045e+08	5.530064551394829899e+07	1.971233692739716149e-10	1.065769293154921115e+03
